IP,APA,AFE,Config_CH,DAQ_CH,SIPM_type,Run,Bias_conversion_slope,Bias_conversion_intercept,New Vbd(V),New Vbd_error(V),RunFolder,Stringa_DAQch,End,Old Vbd(V),Old Vbd_error(V),Diff Old_New,Coldbox_LN2T Vbd(V),Coldbox_LN2T Vbd_error(V),Diff New_LN2T,Diff Old_LN2T,EndCh,End_AFE
10.73.137.111,3,0,3,3,FBK,"[Apr-22-2024-run01, Apr-23-2024-run00, Apr-27-2024-run00, May-02-2024-run00, May-09-2024-run00, May-17-2024-run00, May-28-2024-run00, Jun-18-2024-run00, Jul-29-2024-run00, Sep-24-2024-run00, Oct-04-2024-run00]",0.03927,0.34818,27.4962,0.0874,Vbd_best_20241007,IP111_CH03,111,27.5123,0.0891,0.016099999999998005,,,,,111_03,111_0
10.73.137.111,3,0,4,4,FBK,"[Apr-22-2024-run01, Apr-23-2024-run00, Apr-27-2024-run00, May-02-2024-run00, May-09-2024-run00, May-17-2024-run00, May-28-2024-run00, Jun-18-2024-run00, Jul-29-2024-run00, Sep-24-2024-run00, Oct-04-2024-run00]",0.03928,0.33945,27.5938,0.1325,Vbd_best_20241007,IP111_CH04,111,27.6069,0.1429,0.013099999999997891,,,,,111_04,111_0
10.73.137.111,3,0,5,5,FBK,"[Apr-22-2024-run01, Apr-23-2024-run00, Apr-27-2024-run00, May-02-2024-run00, May-09-2024-run00, May-17-2024-run00, May-28-2024-run00, Jun-18-2024-run00, Jul-29-2024-run00, Sep-24-2024-run00, Oct-04-2024-run00]",0.03927,0.34436,27.4736,0.0502,Vbd_best_20241007,IP111_CH05,111,27.4826,0.0504,0.009000000000000341,,,,,111_05,111_0
10.73.137.111,3,0,6,6,FBK,"[Apr-22-2024-run01, Apr-23-2024-run00, Apr-27-2024-run00, May-02-2024-run00, May-09-2024-run00, May-17-2024-run00, May-28-2024-run00, Jun-18-2024-run00, Jul-29-2024-run00, Sep-24-2024-run00, Oct-04-2024-run00]",0.03928,0.33809,27.5268,0.1275,Vbd_best_20241007,IP111_CH06,111,27.5512,0.1211,0.024399999999999977,,,,,111_06,111_0
10.73.137.111,3,0,7,7,FBK,"[Apr-22-2024-run01, Apr-23-2024-run00, Apr-27-2024-run00, May-02-2024-run00, May-09-2024-run00, May-17-2024-run00, May-28-2024-run00, Jun-18-2024-run00, Jul-29-2024-run00, Sep-24-2024-run00, Oct-04-2024-run00]",0.03928,0.33973,27.4546,0.07,Vbd_best_20241007,IP111_CH07,111,27.4561,0.0678,0.0015000000000000568,,,,,111_07,111_0
10.73.137.111,3,1,8,10,FBK,"[Apr-22-2024-run01, Apr-23-2024-run00, Apr-27-2024-run00, May-02-2024-run00, May-09-2024-run00, May-17-2024-run00, May-28-2024-run00, Jun-18-2024-run00, Jul-29-2024-run00, Sep-24-2024-run00, Oct-04-2024-run00]",0.03896,0.43755,27.3133,0.1329,Vbd_best_20241007,IP111_CH10,111,27.328,0.1439,0.014699999999997715,,,,,111_10,111_1
10.73.137.111,3,1,9,11,FBK,"[Apr-22-2024-run01, Apr-23-2024-run00, Apr-27-2024-run00, May-02-2024-run00, May-09-2024-run00, May-17-2024-run00, May-28-2024-run00, Jun-18-2024-run00, Jul-29-2024-run00, Sep-24-2024-run00, Oct-04-2024-run00]",0.03898,0.42864,27.4348,0.1065,Vbd_best_20241007,IP111_CH11,111,27.4683,0.0712,0.033500000000000085,,,,,111_11,111_1
10.73.137.111,3,1,10,12,FBK,"[Apr-22-2024-run01, Apr-23-2024-run00, Apr-27-2024-run00, May-02-2024-run00, May-09-2024-run00, May-17-2024-run00, May-28-2024-run00, Jun-18-2024-run00, Jul-29-2024-run00, Sep-24-2024-run00, Oct-04-2024-run00]",0.03899,0.42336,27.4055,0.09,Vbd_best_20241007,IP111_CH12,111,27.4308,0.0784,0.025300000000001432,,,,,111_12,111_1
10.73.137.111,3,1,11,13,FBK,"[Apr-22-2024-run01, Apr-23-2024-run00, Apr-27-2024-run00, May-02-2024-run00, May-09-2024-run00, May-17-2024-run00, May-28-2024-run00, Jun-18-2024-run00, Jul-29-2024-run00, Sep-24-2024-run00, Oct-04-2024-run00]",0.03898,0.42827,27.5791,0.0767,Vbd_best_20241007,IP111_CH13,111,27.5957,0.0735,0.016600000000000392,,,,,111_13,111_1
10.73.137.111,3,1,12,14,FBK,"[Apr-22-2024-run01, Apr-23-2024-run00, Apr-27-2024-run00, May-02-2024-run00, May-09-2024-run00, May-17-2024-run00, May-28-2024-run00, Jun-18-2024-run00, Jul-29-2024-run00, Sep-24-2024-run00, Oct-04-2024-run00]",0.03896,0.443,27.444,0.078,Vbd_best_20241007,IP111_CH14,111,27.4614,0.0744,0.01740000000000208,,,,,111_14,111_1
10.73.137.111,3,1,13,15,FBK,"[Apr-22-2024-run01, Apr-23-2024-run00, Apr-27-2024-run00, May-02-2024-run00, May-09-2024-run00, May-17-2024-run00, May-28-2024-run00, Jun-18-2024-run00, Jul-29-2024-run00, Sep-24-2024-run00, Oct-04-2024-run00]",0.03895,0.44436,27.36,0.0881,Vbd_best_20241007,IP111_CH15,111,27.3827,0.0808,0.022700000000000387,,,,,111_15,111_1
10.73.137.111,3,1,14,16,FBK,"[Apr-22-2024-run01, Apr-23-2024-run00, Apr-27-2024-run00, May-02-2024-run00, May-09-2024-run00, May-17-2024-run00, May-28-2024-run00, Jun-18-2024-run00, Jul-29-2024-run00, Sep-24-2024-run00, Oct-04-2024-run00]",0.039,0.41791,27.559,0.0958,Vbd_best_20241007,IP111_CH16,111,27.5742,0.0945,0.015200000000000102,,,,,111_16,111_1
